feature_label,ipf_mean_expression,control_mean_expression,delta_ipf_vs_control
C11orf88,5.589764033613447,4.0576012,1.5321628336134472
DNAH11,6.077191848739496,4.5455884,1.5316034487394958
CYP24A1,4.67727394957983,3.1467316,1.5305423495798305
CCDC170,6.11702008403361,4.5881822,1.52883788403361
PEBP4,6.845889663865546,8.372875200000003,-1.5269855361344566
IGKV1D-42,11.209537226890765,9.683185000000002,1.5263522268907632
SOX2,6.48169336134454,4.957127600000001,1.5245657613445394
LRRC17,5.271146134453781,3.746672400000001,1.5244737344537804
TEKT1,5.93755,4.415256599999999,1.5222934000000006
AGER,8.322390924369747,9.8419416,-1.5195506756302528
FGF14,6.137863949579835,4.6195356,1.5183283495798348
CLDN1,7.938881764705884,6.4206150000000015,1.5182667647058823
IGKC,9.28638134453782,7.7734068,1.512974544537819
IGKV2D-26,7.079789579831935,5.572074799999998,1.5077147798319368
IL18R1,5.087034285714287,6.589246,-1.5022117142857132
KRT15,5.912275462184875,4.415248999999999,1.4970264621848761
IGKV3OR2-268,7.397543697478993,5.900584599999999,1.4969590974789941
ARMC4,5.440008151260505,3.946061200000001,1.4939469512605044
DNAH3,5.43047974789916,3.9378286000000005,1.49265114789916
RGS22,5.38684756302521,3.898982799999999,1.487864763025211
IGHV3-52,11.643384285714289,10.159966999999998,1.4834172857142907
RSPH1,6.2241006722689045,4.7409690000000015,1.483131672268903
LRRC48,6.02437042016807,4.545983000000001,1.478387420168069
MNS1,5.310928487394959,3.8336876000000006,1.477240887394958
FAM81B,5.380241512605041,3.9038308000000006,1.4764107126050403
VCAM1,7.403769915966386,5.927911200000002,1.4758587159663836
IL5RA,5.181257647058824,3.7083104000000007,1.4729472470588232
IGHV3-73,9.213205042016808,7.745069599999997,1.468135442016811
C6,5.834331932773107,4.367496200000001,1.4668357327731067
CXorf22,5.0565739495798345,3.5925962,1.4639777495798345
TMPRSS4,5.452295462184874,3.990365800000001,1.4619296621848727
NEK10,5.372639075630249,3.9127066000000004,1.4599324756302487
DNAH10,5.63306911764706,4.1736804,1.4593887176470597
WDR16,5.5985080672268905,4.1408553999999995,1.457652667226891
CHST9,5.558101092436977,4.1050472000000005,1.4530538924369765
PLA2G1B,5.368755462184874,6.820151199999999,-1.4513957378151252
FPR1,4.94407806722689,6.3941652,-1.4500871327731097
MSMB,4.478757731092437,3.028817,1.449940731092437
FANK1,6.242550756302519,4.7932694,1.449281356302519
TP63,5.496976890756303,4.049763200000001,1.4472136907563016
MS4A2,6.012761344537815,4.5656772000000005,1.4470841445378149
DCLK1,6.360805966386556,4.915047799999999,1.4457581663865566
CSF3R,5.836978571428573,7.279311800000001,-1.442333228571428
MDH1B,5.209617731092438,3.7683755999999993,1.4412421310924386
WDR63,5.282289495798319,3.8427301999999997,1.4395592957983196
IGHV1OR15-1,5.738567563025208,4.300689799999999,1.4378777630252095
RP1,5.47478705882353,4.0386438,1.4361432588235301
KIAA1377,6.145846218487397,4.715346399999999,1.430499818487398
VWA3B,5.276867983193281,3.847591,1.4292769831932808
LOC102724453,9.883617983193275,8.4582938,1.4253241831932755
C9orf135,4.884921428571427,3.4622031999999994,1.4227182285714273
HMCN1,8.341404285714285,6.918958,1.422446285714285
TPPP3,7.401661344537814,5.980166600000001,1.4214947445378128
SFRP4,6.946397226890757,5.525034199999999,1.4213630268907584
IGKV6-21,6.141906218487393,4.721505199999999,1.4204010184873939
SULF1,7.230203109243698,5.811369000000001,1.4188341092436971
ZBTB16,7.087982521008404,8.504377399999997,-1.4163948789915937
GPX3,7.807554957983195,9.218364599999997,-1.4108096420168028
NELL2,5.622711512605042,4.2156394,1.407072112605042
MFSD2A,6.531850504201679,7.936826600000002,-1.4049760957983226
TNC,8.55867781512605,7.155658,1.4030198151260498
S100A9,5.871856974789917,7.2717192,-1.3998622252100823
SCGB3A1,7.775419747899155,6.3767278,1.398691947899155
KLHL13,5.401575546218486,4.003386399999999,1.3981891462184866
EFCAB10,4.934851092436973,3.5373204000000014,1.3975306924369715
IGHV3-43,11.65621579831933,10.259357,1.3968587983193306
C10orf107,6.341291848739498,4.947032600000002,1.3942592487394965
CCDC113,5.932440000000002,4.538834199999999,1.3936058000000031
IGHV3-7,10.899456274509811,9.507207400000002,1.392248874509809
TTC25,5.506570000000003,4.115996999999998,1.3905730000000043
P2RY1,5.854680420168072,7.2397368,-1.3850563798319282
HHIP,6.50232537815126,7.8837198000000015,-1.381394421848741
MT-TW,7.43742075630252,8.818177000000002,-1.3807562436974825
DZIP3,6.636954033613444,5.256305000000001,1.3806490336134427
IQUB,4.758742352941175,3.3781665999999997,1.380575752941175
TMEM45A,7.454007310924367,6.075548799999999,1.3784585109243679
CPB2,5.290623025210084,6.668655600000001,-1.3780325747899171
ALOX15,6.338714369747898,4.963131000000001,1.375583369747897
ADGB,4.583058067226891,3.2082661999999997,1.3747918672268913
LRRN1,5.521449915966385,4.1509956,1.3704543159663851
LPPR4,6.042639243697476,4.676409400000001,1.3662298436974751
FAP,5.914217226890756,4.548283199999998,1.3659340268907574
CHI3L2,4.99190319327731,6.357675,-1.36577180672269
DRC1,5.096174117647061,3.7325299999999992,1.3636441176470622
CCDC173,4.406423613445378,3.0432454,1.3631782134453783
SLAMF7,6.808702605042018,5.446803199999998,1.3618994050420197
CRTAC1,5.34439344537815,6.705937799999999,-1.3615443546218495
ACTG2,8.475673109243697,7.120984200000001,1.3546889092436958
ABCA13,5.664400168067231,4.314238999999999,1.350161168067232
IGHV3-74,10.910549495798323,9.5646842,1.3458652957983226
CD163,8.793080924369745,10.138475200000002,-1.345394275630257
LRP2,5.508670840336136,6.8532372,-1.3445663596638635
C6orf118,5.488621596638656,4.144718000000001,1.343903596638655
FKBP5,7.57493,8.9183474,-1.3434173999999999
IGJ,11.360106218487397,10.0177258,1.342380418487398
