drugbank_id,drug_name,pseudo_label_score,pseudo_label_rank,target_overlap_count,target_overlap_weight,has_lincs_match,is_approved
DB01577,Metamfetamine,0.23979347994325068,88,2,7.746321320621578,0,1
DB00579,Mazindol,0.23979347994325068,89,2,7.746321320621578,0,1
DB08439,Parecoxib,0.23969139018771818,90,2,7.402745438015069,1,1
DB00738,Pentamidine,0.23893833679295867,91,1,7.109016120040435,1,1
DB00619,Imatinib,0.2385858978786739,92,1,4.980482516465038,1,1
DB01017,Minocycline,0.23852279052558223,93,2,7.4106824310163875,1,1
DB00328,Indomethacin,0.23815824638253408,94,2,6.574603492276509,1,1
DB00458,Imipramine,0.23778030432227626,95,2,6.030191725072567,1,1
DB00936,Salicylic acid,0.23726737705220996,96,3,7.254582354568395,0,1
DB01599,Probucol,0.2367866019702623,97,1,6.513587643953924,1,1
DB00321,Amitriptyline,0.23672210326407522,98,2,6.030191725072567,1,1
DB00715,Paroxetine,0.23672210326407522,99,2,6.030191725072567,1,1
DB01175,Escitalopram,0.23672210326407522,100,2,6.030191725072567,1,1
DB00408,Loxapine,0.2365709316843322,101,2,6.030191725072567,1,1
DB01151,Desipramine,0.2365709316843322,102,2,6.030191725072567,1,1
DB00656,Trazodone,0.2365709316843322,103,2,6.030191725072567,1,1
DB00608,Chloroquine,0.23618715889959002,104,1,3.307008071106156,1,1
DB00543,Amoxapine,0.2361174169451032,105,2,6.030191725072567,1,1
DB00575,Clonidine,0.2356383950529924,106,1,4.024154714988533,1,1
DB06589,Pazopanib,0.23556246628381378,107,1,4.980482516465038,1,1
DB01149,Nefazodone,0.23551273062613115,108,2,6.030191725072567,1,1
DB00398,Sorafenib,0.23541129470407074,109,1,4.980482516465038,1,1
DB00726,Trimipramine,0.2350592158869021,110,2,6.030191725072567,1,1
DB01142,Doxepin,0.23490804430715911,111,2,6.030191725072567,1,1
DB00481,Raloxifene,0.23476946334089188,112,0,0.0,1,1
DB01197,Captopril,0.23462978322851918,113,1,6.3291548684222345,1,1
DB06148,Mianserin,0.23430335798818708,114,2,6.030191725072567,1,1
DB00540,Nortriptyline,0.23430335798818708,115,2,6.030191725072567,1,1
DB00852,Pseudoephedrine,0.23384984324895808,116,2,6.030191725072567,1,1
DB09167,Dosulepin,0.23384984324895808,117,2,6.030191725072567,1,1
DB00420,Promazine,0.23367316451633324,118,1,4.024154714988533,1,1
DB01238,Aripiprazole,0.23324515692998604,119,2,6.030191725072567,1,1
DB00898,Ethanol,0.23288878809885377,120,2,6.402232748251191,0,1
DB04844,Tetrabenazine,0.23266290854244748,121,1,5.740284310537544,1,1
DB00206,Reserpine,0.23236056538296146,122,1,5.740284310537544,1,1
DB00622,Nicardipine,0.2323126202986462,123,1,4.024154714988533,1,1
